Entry Date,Exit Date,Diff Date,Signal,Stock,Open,Close,P/L,%P/L,Status
2026-02-11,2026-02-12,1.0,DOWN,CPN,63.25,63.25,0.0,0.0,CLOSED
2026-02-12,,,DOWN,CPN,63.25,,,,OPEN
