Entry Date,Exit Date,Diff Date,Signal,Stock,Open,Close,P/L,%P/L,Status
2026-02-11,2026-02-12,1.0,UP,COM7,23.9,23.9,0.0,0.0,CLOSED
2026-02-12,,,UP,COM7,23.9,,,,OPEN
