scan_date,target_date,symbol,exchange,pattern,forecast,prob,conf,stats,price_at_scan,change_pct,threshold,avg_return,total_bars,actual,price_actual,correct,last_update
2026-02-12,2026-02-13,ENPH,NASDAQ,++,DOWN,70.0,15.0,100/100 (5000),48.23,0.0,0.0,0.0,5000,DOWN,43.49,1.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,MCHP,NASDAQ,+,UP,67.23002612500869,6.115013062504349,100/100 (5000),80.75,0.0,0.0,0.0,5000,DOWN,78.56,0.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,META,NASDAQ,-,DOWN,66.41198192940635,5.705990964703178,100/100 (5000),668.69,0.0,0.0,0.0,5000,DOWN,639.77,1.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,META,NASDAQ,++,DOWN,66.18793174652772,9.712759047916636,100/100 (5000),668.69,0.0,0.0,0.0,5000,DOWN,639.77,1.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,9866,HKEX,++,UP,65.0216675061127,9.01300050366762,100/100 (5000),39.46,-0.6045340050377883,0.9068010075566824,-0.4836272040302307,5000,DOWN,39.46,0.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,3690,HKEX,-,DOWN,75.0,10.220647571905827,100/100 (5000),84.85,-4.501969611705121,6.752954417557682,-3.601575689364097,5000,DOWN,82.15,1.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,3711,TWSE,++,UP,70.0,12.472205180569972,100/100 (5000),354.5,0.0,0.0,0.0,5000,NEUTRAL,354.5,0.0,2026-02-18 20:15:47
2026-02-12,2026-02-13,3711,TWSE,+,UP,75.0,16.742872281197563,100/100 (5000),354.5,0.0,0.0,0.0,5000,NEUTRAL,354.5,0.0,2026-02-18 20:15:47
2026-02-12,2026-02-13,2454,TWSE,++,UP,68.41436782450462,11.048620694702771,100/100 (5000),1855.0,0.0,0.0,0.0,5000,NEUTRAL,1855.0,0.0,2026-02-18 20:15:47
2026-02-12,2026-02-13,2395,TWSE,+,UP,66.94415336730836,5.972076683654182,100/100 (5000),305.0,0.0,0.0,0.0,5000,NEUTRAL,305.0,0.0,2026-02-18 20:15:47
2026-02-12,2026-02-13,2330,TWSE,+,UP,69.27734331558139,7.138671657790696,100/100 (5000),1915.0,0.0,0.0,0.0,5000,NEUTRAL,1915.0,0.0,2026-02-18 20:15:47
2026-02-12,2026-02-13,2308,TWSE,++,UP,65.78210973206338,9.469265839238023,100/100 (5000),1260.0,0.0,0.0,0.0,5000,NEUTRAL,1260.0,0.0,2026-02-18 20:15:47
2026-02-12,2026-02-13,2303,TWSE,++,UP,70.0,15.0,100/100 (5000),62.8,0.0,0.0,0.0,5000,NEUTRAL,62.8,0.0,2026-02-18 20:15:47
2026-02-12,2026-02-13,ZS,NASDAQ,++,DOWN,67.92594872692568,10.755569236155411,100/100 (5000),171.0,0.0,0.0,0.0,5000,UP,177.72,0.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,ZM,NASDAQ,++,DOWN,69.4487478833683,11.669248730020978,100/100 (5000),92.15,0.0,0.0,0.0,5000,UP,92.6,0.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,ZM,NASDAQ,-,DOWN,69.37365051089907,7.186825255449536,100/100 (5000),92.15,0.0,0.0,0.0,5000,UP,92.6,0.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,XEL,NASDAQ,+,UP,66.1547501540002,5.577375077000101,100/100 (5000),77.92,0.0,0.0,0.0,5000,UP,81.59,1.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,WBD,NASDAQ,+,UP,66.13771871406,5.568859357029998,100/100 (5000),27.99,0.0,0.0,0.0,5000,DOWN,27.99,0.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,VRSK,NASDAQ,++,UP,65.82464205371215,9.494785232227292,100/100 (5000),173.77,0.0,0.0,0.0,5000,UP,181.21,1.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,TMUS,NASDAQ,+,UP,75.0,10.71323333380061,100/100 (5000),209.54,0.0,0.0,0.0,5000,UP,219.5,1.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,TEAM,NASDAQ,++,DOWN,69.30616293541291,11.583697761247754,100/100 (5000),86.97,0.0,0.0,0.0,5000,DOWN,84.38,1.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,MRNA,NASDAQ,++,UP,66.7916054883347,10.074963293000817,100/100 (5000),40.51,0.0,0.0,0.0,5000,UP,42.23,1.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,MSFT,NASDAQ,++,DOWN,65.658761373965,9.395256824379,100/100 (5000),404.37,0.0,0.0,0.0,5000,DOWN,401.32,1.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,MU,NASDAQ,++,UP,70.0,14.890175740586594,100/100 (5000),410.34,0.0,0.0,0.0,5000,UP,411.66,1.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,NFLX,NASDAQ,-,DOWN,65.92814683528078,5.464073417640392,100/100 (5000),79.62,0.0,0.0,0.0,5000,DOWN,76.87,1.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,NXPI,NASDAQ,+,UP,69.17000008982396,7.085000044911983,100/100 (5000),249.75,0.0,0.0,0.0,5000,DOWN,244.43,0.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,ODFL,NASDAQ,++,DOWN,68.65799379730224,11.194796278381345,100/100 (5000),194.46,0.0,0.0,0.0,5000,DOWN,193.21,1.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,ADSK,NASDAQ,-,DOWN,69.16861439250263,7.084307196251316,100/100 (5000),232.59,0.0,0.0,0.0,5000,DOWN,231.22,1.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,PANW,NASDAQ,++,DOWN,65.06199971987665,9.037199831925989,100/100 (5000),165.3,0.0,0.0,0.0,5000,UP,166.95,0.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,RIVN,NASDAQ,+,UP,75.0,14.88829329567448,100/100 (5000),14.76,0.0,0.0,0.0,5000,UP,17.73,1.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,RIVN,NASDAQ,++,UP,70.0,15.0,100/100 (5000),14.76,0.0,0.0,0.0,5000,UP,17.73,1.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,ROKU,NASDAQ,++,DOWN,69.07358220229378,11.444149321376264,100/100 (5000),87.89,0.0,0.0,0.0,5000,UP,90.06,0.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,SIRI,NASDAQ,++,DOWN,65.20488849373399,9.12293309624039,100/100 (5000),21.9,0.0,0.0,0.0,5000,DOWN,21.29,1.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,SNPS,NASDAQ,++,DOWN,66.83363828435623,10.10018297061374,100/100 (5000),438.21,0.0,0.0,0.0,5000,DOWN,437.09,1.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,TEAM,NASDAQ,-,DOWN,75.0,10.185423060034482,100/100 (5000),86.97,0.0,0.0,0.0,5000,DOWN,84.38,1.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,PYPL,NASDAQ,++,DOWN,70.0,15.0,100/100 (5000),40.46,0.0,0.0,0.0,5000,DOWN,40.29,1.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,ADP,NASDAQ,-,DOWN,67.0537114388147,6.0268557194073535,100/100 (5000),217.57,0.0,0.0,0.0,5000,DOWN,212.11,1.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,DDOG,NASDAQ,+,UP,71.28532524695518,8.142662623477593,100/100 (5000),127.33,0.0,0.0,0.0,5000,DOWN,125.2,0.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,WHA,SET,++,UP,65.1400397428428,9.08402384570568,100/100 (5000),4.2,6.59898477157361,9.898477157360414,5.279187817258888,5000,DOWN,4.14,0.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,KTB,SET,+,UP,69.69354942041292,7.346774710206461,100/100 (5000),31.0,2.479338842975207,3.7190082644628095,1.9834710743801656,5000,DOWN,30.25,0.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,KBANK,SET,+,UP,68.2925503793396,6.646275189669804,100/100 (5000),198.5,2.849740932642487,4.274611398963731,2.2797927461139897,5000,DOWN,195.5,0.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,JMT,SET,++,UP,70.0,14.454064712234576,100/100 (5000),10.6,13.368983957219251,20.05347593582888,10.6951871657754,5000,UP,10.7,1.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,JMT,SET,+,UP,75.0,18.91699329292034,100/100 (5000),10.6,13.368983957219251,20.05347593582888,10.6951871657754,5000,UP,10.7,1.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,JMART,SET,++,DOWN,67.6117450097397,10.56704700584382,100/100 (5000),8.1,5.88235294117646,8.82352941176469,4.705882352941169,5000,UP,8.2,0.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,JMART,SET,+,UP,65.67588742842263,5.337943714211313,100/100 (5000),8.1,5.88235294117646,8.82352941176469,4.705882352941169,5000,UP,8.2,1.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,HMPRO,SET,+,UP,69.37400313495434,7.18700156747717,100/100 (5000),7.0,2.941176470588238,4.411764705882357,2.3529411764705905,5000,UP,7.05,1.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,GUNKUL,SET,+,UP,75.0,13.22539698498777,100/100 (5000),2.2,7.843137254901968,11.764705882352953,6.274509803921575,5000,UP,2.22,1.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,GULF,SET,+,UP,68.30339902417272,6.651699512086362,100/100 (5000),58.5,4.464285714285714,6.696428571428571,3.571428571428572,5000,UP,59.25,1.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,GPSC,SET,+,UP,75.0,12.544711416199528,100/100 (5000),41.25,7.142857142857142,10.714285714285714,5.714285714285714,5000,UP,43.0,1.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,FORTH,SET,++,UP,70.0,15.0,100/100 (5000),8.1,1.886792452830182,2.830188679245273,1.5094339622641455,5000,DOWN,7.8,0.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,ERW,SET,+,UP,73.81325448716686,9.406627243583433,100/100 (5000),3.1,6.164383561643842,9.246575342465762,4.931506849315074,5000,UP,3.14,1.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,EPG,SET,++,UP,65.78381651753617,9.470289910521702,100/100 (5000),3.34,0.6024096385542175,0.9036144578313262,0.481927710843374,5000,UP,3.68,1.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,WHAUP,SET,+,UP,65.32532367785825,5.162661838929128,100/100 (5000),4.96,3.3333333333333366,5.000000000000005,2.6666666666666696,5000,DOWN,4.9,0.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,KTC,SET,+,UP,75.0,13.616129061023376,100/100 (5000),30.75,2.5,3.75,2.0,5000,DOWN,30.5,0.0,2026-02-12 15:00:00
2026-02-12,2026-02-13,DOHOME,SET,+,UP,65.13859582729523,5.069297913647619,100/100 (5000),4.0,2.040816326530614,3.0612244897959213,1.6326530612244914,5000,DOWN,3.96,0.0,2026-02-12 15:00:00
