Symbol,Threshold,Max_Streak_Pos,Max_Streak_Neg,Pattern,Pattern_Name,Category,Chance,Prob,Stats
AOT,±1.9%,4,6,--++,4D_Reversal_Up,Reversal,🟢 UP,33%,4/12 (5000)
AOT,±1.9%,4,6,--+-,4D_Mixed_--+-,Mixed,🟢 UP,66%,2/3 (5000)
AOT,±1.9%,4,6,---+,4D_Reversal_Up,Reversal,🟢 UP,80%,4/5 (5000)
AOT,±1.9%,4,6,----,4_Days_Down,Trend,🔴 DOWN,40%,2/5 (5000)
AOT,±1.9%,4,6,-----,Streak_Down_5,Breakout,🟢 UP,66%,2/3 (5000)
AOT,±1.9%,4,6,------,Streak_Down_6,Breakout,🟢 UP,100%,1/1 (5000)
AWC,±1.6%,4,4,+,1_Days_Up,Trend,🔴 DOWN,33%,96/286 (1523)
AWC,±1.6%,4,4,-,1_Days_Down,Trend,🟢 UP,44%,140/312 (1523)
AWC,±1.6%,4,4,++,2_Days_Up,Trend,🔴 DOWN,31%,16/51 (1523)
AWC,±1.6%,4,4,+-,2D_Reversal_Down,Reversal,🟢 UP,45%,33/73 (1523)
AWC,±1.6%,4,4,-+,2D_Reversal_Up,Reversal,🔴 DOWN,30%,22/71 (1523)
AWC,±1.6%,4,4,--,2_Days_Down,Trend,🔴 DOWN,49%,34/69 (1523)
AWC,±1.6%,4,4,+++,3_Days_Up,Trend,🔴 DOWN,30%,3/10 (1523)
AWC,±1.6%,4,4,++-,3D_Reversal_Down,Reversal,🟢 UP,56%,9/16 (1523)
AWC,±1.6%,4,4,+-+,3D_Mixed_+-+,Mixed,🔴 DOWN,38%,8/21 (1523)
AWC,±1.6%,4,4,+--,3D_Reversal_Down,Reversal,🔴 DOWN,53%,7/13 (1523)
AWC,±1.6%,4,4,-++,3D_Reversal_Up,Reversal,🔴 DOWN,16%,2/12 (1523)
AWC,±1.6%,4,4,-+-,3D_Mixed_-+-,Mixed,🔴 DOWN,50%,11/22 (1523)
AWC,±1.6%,4,4,--+,3D_Reversal_Up,Reversal,🔴 DOWN,23%,4/17 (1523)
AWC,±1.6%,4,4,---,3_Days_Down,Trend,🟢 UP,52%,9/17 (1523)
AWC,±1.6%,4,4,++++,4_Days_Up,Trend,🔴 DOWN,0%,0/3 (1523)
AWC,±1.6%,4,4,+++-,4D_Reversal_Down,Reversal,🔴 DOWN,33%,1/3 (1523)
AWC,±1.6%,4,4,++-+,4D_Mixed_++-+,Mixed,🔴 DOWN,33%,1/3 (1523)
AWC,±1.6%,4,4,++--,4D_Reversal_Down,Reversal,🟢 UP,50%,1/2 (1523)
AWC,±1.6%,4,4,+-++,4D_Mixed_+-++,Mixed,🔴 DOWN,20%,1/5 (1523)
AWC,±1.6%,4,4,+-+-,4D_Reversal_Down,Reversal,🟢 UP,40%,2/5 (1523)
AWC,±1.6%,4,4,+--+,4D_Mixed_+--+,Mixed,🔴 DOWN,20%,1/5 (1523)
AWC,±1.6%,4,4,+---,4D_Reversal_Down,Reversal,🟢 UP,40%,2/5 (1523)
AWC,±1.6%,4,4,-+++,4D_Reversal_Up,Reversal,🟢 UP,100%,1/1 (1523)
AWC,±1.6%,4,4,-++-,4D_Mixed_-++-,Mixed,🟢 UP,100%,4/4 (1523)
AWC,±1.6%,4,4,-+-+,4D_Reversal_Up,Reversal,🟢 UP,33%,3/9 (1523)
AWC,±1.6%,4,4,-+--,4D_Mixed_-+--,Mixed,🟢 UP,66%,2/3 (1523)
AWC,±1.6%,4,4,--++,4D_Reversal_Up,Reversal,🔴 DOWN,0%,0/1 (1523)
AWC,±1.6%,4,4,--+-,4D_Mixed_--+-,Mixed,🟢 UP,50%,3/6 (1523)
AWC,±1.6%,4,4,---+,4D_Reversal_Up,Reversal,🔴 DOWN,40%,2/5 (1523)
