date,exchange,total_forecasts,up_forecasts,down_forecasts,avg_probability,max_probability,min_probability
2026-02-18,TWSE,5,2,3,55.05999999999999,57.9,52.1
2026-02-18,TWSE,5,2,3,55.05999999999999,57.9,52.1
2026-02-18,TWSE,5,2,3,55.05999999999999,57.9,52.1
