Stock,Trades,W/L,Winrate,Avg Win,Avg Loss,Net P/L
XAUUSD,2,1W-1L,50.0,1.07,-0.69,0.3800000000000001
XAGUSD,3,1W-2L,33.33333333333333,6.32,-5.725,-5.129999999999999
