Symbol,Streak_Type,Day_Count_n,Reached_Count,Continued_to_n_plus_1,Next_Day_Prob_Percent,Avg_Intensity
TISCO,DOWN,4,24,9,37.5,-3.03
TISCO,DOWN,5,9,4,44.44,-3
TISCO,DOWN,6,4,1,25,-2.74
TISCO,DOWN,7,1,0,0,-2.27
TOP,UP,1,358,37,10.34,4.57
TOP,UP,2,37,3,8.11,4.93
TOP,UP,3,3,0,0,5.81
TOP,DOWN,1,310,39,12.58,-4.38
TOP,DOWN,2,39,6,15.38,-5.39
TOP,DOWN,3,6,2,33.33,-6.34
TOP,DOWN,4,2,1,50,-6.08
TOP,DOWN,5,1,0,0,-8.1
TRUE,UP,1,12,0,0,6.36
TRUE,DOWN,1,11,1,9.09,-6.98
TRUE,DOWN,2,1,0,0,-5.03
TTB,UP,1,728,144,19.78,3.01
TTB,UP,2,144,36,25,3.32
TTB,UP,3,36,12,33.33,3.79
TTB,UP,4,12,2,16.67,4.18
TTB,UP,5,2,1,50,4.14
TTB,UP,6,1,1,100,3.25
TTB,UP,7,1,0,0,3.25
TTB,DOWN,1,712,157,22.05,-2.74
TTB,DOWN,2,157,39,24.84,-2.99
TTB,DOWN,3,39,9,23.08,-3.5
TTB,DOWN,4,9,4,44.44,-4.14
TTB,DOWN,5,4,0,0,-4.86
TU,UP,1,297,39,13.13,3.83
TU,UP,2,39,4,10.26,4.11
TU,UP,3,4,1,25,3.98
TU,UP,4,1,0,0,3.53
TU,DOWN,1,266,28,10.53,-3.65
TU,DOWN,2,28,3,10.71,-4
TU,DOWN,3,3,1,33.33,-3.93
TU,DOWN,4,1,0,0,-4.63
WHA,UP,1,479,100,20.88,3.27
WHA,UP,2,100,18,18,3.54
WHA,UP,3,18,2,11.11,4.75
WHA,UP,4,2,1,50,4.15
WHA,UP,5,1,1,100,3.97
WHA,UP,6,1,0,0,3.97
WHA,DOWN,1,431,87,20.19,-2.94
WHA,DOWN,2,87,17,19.54,-3.44
WHA,DOWN,3,17,5,29.41,-3.73
WHA,DOWN,4,5,1,20,-4.28
WHA,DOWN,5,1,0,0,-3.34
AMATA,UP,1,498,83,16.67,4.57
AMATA,UP,2,83,9,10.84,4.91
AMATA,UP,3,9,1,11.11,5.23
AMATA,UP,4,1,0,0,6.27
AMATA,DOWN,1,438,76,17.35,-4.12
AMATA,DOWN,2,76,20,26.32,-4.83
AMATA,DOWN,3,20,4,20,-5.96
AMATA,DOWN,4,4,1,25,-8.88
AMATA,DOWN,5,1,0,0,-4.88
AP,UP,1,591,123,20.81,3.75
AP,UP,2,123,23,18.7,3.96
AP,UP,3,23,5,21.74,4.18
AP,UP,4,5,2,40,4.79
AP,UP,5,2,0,0,5.65
AP,DOWN,1,530,104,19.62,-3.55
AP,DOWN,2,104,24,23.08,-4.05
AP,DOWN,3,24,3,12.5,-4.37
AP,DOWN,4,3,1,33.33,-4.71
AP,DOWN,5,1,0,0,-6.44
BAM,UP,1,199,46,23.12,3.3
BAM,UP,2,46,8,17.39,3.77
BAM,UP,3,8,2,25,4.14
BAM,UP,4,2,1,50,5.76
BAM,UP,5,1,0,0,4.86
BAM,DOWN,1,208,50,24.04,-3.04
BAM,DOWN,2,50,8,16,-3.08
BAM,DOWN,3,8,3,37.5,-3.89
BAM,DOWN,4,3,0,0,-5.7
BCH,UP,1,219,27,12.33,4.75
BCH,UP,2,27,3,11.11,4.73
BCH,UP,3,3,1,33.33,4.54
BCH,UP,4,1,0,0,4.25
BCH,DOWN,1,134,9,6.72,-4.88
BCH,DOWN,2,9,0,0,-4.7
BCP,UP,1,345,42,12.17,4.09
BCP,UP,2,42,8,19.05,4.82
BCP,UP,3,8,2,25,5.13
BCP,UP,4,2,1,50,4.8
BCP,UP,5,1,0,0,5.42
BCP,DOWN,1,280,26,9.29,-4.02
BCP,DOWN,2,26,5,19.23,-4.61
BCP,DOWN,3,5,0,0,-5.45
BCPG,UP,1,191,29,15.18,3.92
BCPG,UP,2,29,8,27.59,4.82
BCPG,UP,3,8,1,12.5,5.78
BCPG,UP,4,1,0,0,4.64
BCPG,DOWN,1,159,24,15.09,-3.78
BCPG,DOWN,2,24,4,16.67,-3.91
BCPG,DOWN,3,4,2,50,-5.23
BCPG,DOWN,4,2,0,0,-6.07
BPP,UP,1,26,1,3.85,8.46
BPP,UP,2,1,0,0,8.47
BPP,DOWN,1,13,0,0,-8.15
BYD,UP,1,621,103,16.59,7.7
BYD,UP,2,103,28,27.18,8.87
BYD,UP,3,28,13,46.43,11.24
BYD,UP,4,13,6,46.15,11.66
BYD,UP,5,6,2,33.33,13.59
BYD,UP,6,2,1,50,17.12
BYD,UP,7,1,1,100,12.48
BYD,UP,8,1,1,100,12.48
BYD,UP,9,1,1,100,12.48
BYD,UP,10,1,1,100,12.48
BYD,UP,11,1,1,100,12.48
BYD,UP,12,1,1,100,12.48
BYD,UP,13,1,0,0,12.48
BYD,DOWN,1,675,129,19.11,-5.97
BYD,DOWN,2,129,23,17.83,-6.64
BYD,DOWN,3,23,10,43.48,-6.77
BYD,DOWN,4,10,2,20,-6.26
BYD,DOWN,5,2,0,0,-7.03
CK,UP,1,201,23,11.44,6.08
CK,UP,2,23,4,17.39,7.34
CK,UP,3,4,0,0,6.89
CK,DOWN,1,159,23,14.47,-5.86
CK,DOWN,2,23,4,17.39,-6.47
CK,DOWN,3,4,0,0,-7.92
CKP,UP,1,231,24,10.39,4.37
CKP,UP,2,24,4,16.67,5.26
CKP,UP,3,4,0,0,3.88
CKP,DOWN,1,178,13,7.3,-4.24
CKP,DOWN,2,13,2,15.38,-4.71
CKP,DOWN,3,2,0,0,-4.86
DOHOME,UP,1,158,30,18.99,5.45
DOHOME,UP,2,30,6,20,5.97
DOHOME,UP,3,6,0,0,5.3
DOHOME,DOWN,1,130,21,16.15,-4.97
DOHOME,DOWN,2,21,5,23.81,-5.84
DOHOME,DOWN,3,5,1,20,-5.25
DOHOME,DOWN,4,1,0,0,-6.25
EPG,UP,1,342,64,18.71,3.76
EPG,UP,2,64,8,12.5,4.19
EPG,UP,3,8,1,12.5,3.84
EPG,UP,4,1,0,0,4.6
EPG,DOWN,1,303,52,17.16,-3.5
EPG,DOWN,2,52,16,30.77,-3.93
EPG,DOWN,3,16,1,6.25,-4.53
EPG,DOWN,4,1,0,0,-3.67
