Stock,Trades,W/L,Winrate,Avg Win,Avg Loss,Net P/L
ZTO-EXP,1,0W-1L,0.0,0,-2.07,-2.07
NEW-ORIENTAL,1,0W-1L,0.0,0,-2.56,-2.56
YUM-CHINA,2,0W-2L,0.0,0,-3.835,-7.67
