gatekeeper,min_prob,total_trades,elite_trades,elite_prob,raw_prob,raw_avgwin,raw_avgloss,raw_rrr,elite_avgwin,elite_avgloss,elite_rrr,symbols,symbols_passing,symbols_passing_list
เดิม (Prob >= 55%),55.0,9291,3178,60.824417872876026,58.75578516844258,1.5876582310406815,1.4735256225884485,1.0774554623975547,1.6902647958936696,1.47408689764258,1.1466520722739006,105,0,[]
ปัจจุบัน (Prob >= 53%),53.0,12379,3178,60.824417872876026,58.19533080216496,1.5784880898396152,1.4675114132694822,1.0756223601170414,1.6902647958936696,1.47408689764258,1.1466520722739006,107,0,[]
สูง (Prob >= 60%),60.0,3178,3178,60.824417872876026,60.824417872876026,1.6902647958936696,1.47408689764258,1.1466520722739006,1.6902647958936696,1.47408689764258,1.1466520722739006,83,0,[]
