symbol,Country,Filter_Type,Priority,Prob%,AvgWin%,AvgLoss%,RR_Ratio,Count,Mentor_Score,Position_Size_Pct,Stop_Loss_Pct,Take_Profit_Pct
TU,TH,THAI_MARKET,2,61.4,1.43,1.08,1.32,321,45.06,0.7700522565320664,1.62,1.144
ENPH,US,US_MARKET,2,57.1,3.6,2.69,1.34,98,44.760000000000005,0.7269738717339668,4.035,2.8800000000000003
TKS,TH,THAI_MARKET,2,60.7,1.97,1.52,1.3,346,44.68,0.7497387173396675,2.2800000000000002,1.576
WHAUP,TH,THAI_MARKET,2,61.1,1.41,1.09,1.29,581,44.43000000000001,0.7488741092636579,1.6350000000000002,1.128
CHG,TH,THAI_MARKET,2,61.3,1.6,1.27,1.26,1754,44.080000000000005,0.7338527315914489,1.905,1.2800000000000002
MEGA,TH,THAI_MARKET,2,61.3,1.72,1.37,1.25,685,43.96999999999999,0.7280285035629454,2.055,1.3760000000000001
ODFL,US,US_MARKET,2,59.0,2.19,1.72,1.27,105,43.59000000000001,0.7119239904988123,2.58,1.752
FANG,US,US_MARKET,2,54.8,2.48,1.88,1.32,93,42.92,0.6872779097387173,2.82,1.984
VRTX,US,US_MARKET,2,68.8,1.39,1.36,1.02,144,42.88,0.6667553444180522,2.04,1.1119999999999999
TIPH,TH,THAI_MARKET,2,60.3,1.62,1.34,1.2,723,42.68000000000001,0.6875059382422801,2.0100000000000002,1.2960000000000003
GILD,US,US_MARKET,2,56.3,1.33,1.04,1.28,238,42.3,0.6846935866983372,1.56,1.064
CPRT,US,US_MARKET,2,53.8,2.72,2.19,1.25,39,41.32999999999999,0.6389548693586699,3.285,2.176
2395,TW,TAIWAN_MARKET,2,57.1,1.35,1.12,1.2,683,41.300000000000004,0.6510213776722089,1.6800000000000002,1.08
SIRI,US,US_MARKET,2,57.0,2.18,1.87,1.17,128,40.96999999999999,0.6336342042755344,2.805,1.7440000000000002
MSFT,US,US_MARKET,2,55.7,2.21,1.89,1.17,230,40.47,0.6191828978622327,2.835,1.768
3008,TW,TAIWAN_MARKET,2,55.7,1.88,1.62,1.16,490,40.199999999999996,0.6138907363420427,2.43,1.504
CRWD,US,US_MARKET,2,61.1,1.94,1.87,1.04,36,40.18000000000001,0.6037434679334917,2.805,1.552
3711,TW,TAIWAN_MARKET,2,56.5,2.01,1.79,1.12,69,39.84,0.6012351543942992,2.685,1.6079999999999999
2357,TW,TAIWAN_MARKET,2,50.4,1.35,1.06,1.27,756,39.790000000000006,0.6081520190023753,1.59,1.08
MU,US,US_MARKET,2,56.5,3.05,2.82,1.08,124,39.260000000000005,0.5797624703087887,4.2299999999999995,2.44
3690,CN,CHINA_MARKET,2,50.9,2.2,1.87,1.18,55,38.72,0.5706603325415676,2.805,1.7600000000000002
PDD,US,US_MARKET,2,58.9,2.51,2.52,1.0,90,38.54,0.5596199524940617,3.7800000000000002,2.008
ADBE,US,US_MARKET,2,54.1,2.66,2.47,1.08,122,38.220000000000006,0.5551353919239905,3.705,2.128
META,US,US_MARKET,2,52.9,2.58,2.34,1.1,170,38.13999999999999,0.552874109263658,3.51,2.064
2382,TW,TAIWAN_MARKET,2,53.1,1.4,1.28,1.1,997,37.98,0.5549643705463183,1.92,1.1199999999999999
ISRG,US,US_MARKET,2,54.9,2.45,2.36,1.04,102,37.74,0.542479809976247,3.54,1.9600000000000002
2303,TW,TAIWAN_MARKET,2,54.5,1.78,1.69,1.05,1100,37.73,0.5437054631828978,2.535,1.4240000000000002
NXPI,US,US_MARKET,2,53.5,2.57,2.48,1.04,318,37.18,0.528646080760095,3.7199999999999998,2.056
JD,US,US_MARKET,2,53.7,3.09,2.99,1.03,134,37.13000000000001,0.525520190023753,4.485,2.472
AMZN,US,US_MARKET,2,55.2,2.26,2.27,1.0,362,37.059999999999995,0.5244655581947744,3.4050000000000002,1.8079999999999998
2308,TW,TAIWAN_MARKET,2,50.8,1.5,1.4,1.07,777,36.57000000000001,0.5164465558194774,2.0999999999999996,1.2000000000000002
PAYX,US,US_MARKET,2,52.4,1.1,1.1,1.0,147,35.96,0.49786223277909736,1.6500000000000001,0.8800000000000001
