Market,Symbol,Bucket,Trades,WinRate,AvgReturn
CHINA,HKEX,Low Vol,1130,49.29203539823009,-0.019386473440574706
CHINA,HKEX,Normal,1050,49.61904761904762,0.26771942082268435
CHINA,HKEX,High Vol,805,49.440993788819874,0.17362689729010694
CHINA,HKEX,Spike,302,50.993377483443716,0.45254566204943913
CHINA,HKEX,Low Vol,376,49.46808510638298,0.10073977648576134
CHINA,HKEX,Normal,464,50.0,0.31471175100056614
CHINA,HKEX,High Vol,305,45.90163934426229,-0.10158261200633513
CHINA,HKEX,Spike,93,49.46236559139785,0.2927865431343656
CHINA,HKEX,Low Vol,279,44.44444444444444,-0.3252010139193029
CHINA,HKEX,Normal,301,40.53156146179402,-0.25548187276625967
CHINA,HKEX,High Vol,195,47.179487179487175,0.03195980315076409
CHINA,HKEX,Spike,59,54.23728813559322,1.2136374781260675
CHINA,HKEX,Low Vol,411,46.47201946472019,-0.053393638518149406
CHINA,HKEX,Normal,471,48.61995753715499,-0.03575306563248254
CHINA,HKEX,High Vol,317,52.05047318611987,0.6615722569879169
CHINA,HKEX,Spike,88,55.68181818181818,0.4940342479324944
CHINA,HKEX,Low Vol,808,49.62871287128713,0.16543624003115157
CHINA,HKEX,Normal,1124,50.80071174377224,0.1585186628472078
CHINA,HKEX,High Vol,822,51.21654501216545,0.09985872939318052
CHINA,HKEX,Spike,182,56.043956043956044,0.7792585762683076
CHINA,HKEX,Low Vol,315,44.761904761904766,-0.004577330068288899
CHINA,HKEX,Normal,342,45.32163742690059,-0.17533713364856096
CHINA,HKEX,High Vol,233,44.63519313304721,-0.024430623158318072
CHINA,HKEX,Spike,65,53.84615384615385,1.4871859518694164
CHINA,HKEX,Low Vol,248,43.145161290322584,-0.5287102492668534
CHINA,HKEX,Normal,242,44.62809917355372,-0.2772336123704441
CHINA,HKEX,High Vol,212,46.69811320754717,0.15341332778170658
CHINA,HKEX,Spike,63,49.2063492063492,0.6526654161895238
CHINA,HKEX,Low Vol,293,44.027303754266214,-0.07378886797269314
CHINA,HKEX,Normal,317,42.586750788643535,-0.18205601452610434
CHINA,HKEX,High Vol,235,48.93617021276596,0.11878033832852382
CHINA,HKEX,Spike,57,56.14035087719298,1.0612468591131288
CHINA,HKEX,Low Vol,282,42.5531914893617,-0.2906386915033004
CHINA,HKEX,Normal,283,49.82332155477032,0.12301431405264977
CHINA,HKEX,High Vol,201,48.258706467661696,0.04117643619556426
CHINA,HKEX,Spike,65,53.84615384615385,0.5602321328927692
CHINA,HKEX,Low Vol,325,44.30769230769231,-0.0985691080065821
CHINA,HKEX,Normal,390,47.69230769230769,0.13817113678552717
CHINA,HKEX,High Vol,271,50.184501845018445,0.03518614777718327
CHINA,HKEX,Spike,62,51.61290322580645,0.8493785498426161
THAI,SET,Low Vol,596,45.97315436241611,0.018526939557473705
THAI,SET,Normal,706,43.05949008498583,0.030203741154257148
THAI,SET,High Vol,657,47.336377473363775,0.10264267042445525
THAI,SET,Spike,227,47.57709251101321,0.21333938043981027
THAI,SET,Low Vol,1048,39.79007633587786,-0.06147986788411332
THAI,SET,Normal,733,42.701227830832195,-0.03315264892175872
THAI,SET,High Vol,693,46.60894660894661,0.24479250719148168
THAI,SET,Spike,378,44.44444444444444,0.2511590359197262
THAI,SET,Low Vol,770,41.81818181818181,0.007057999354655938
THAI,SET,Normal,658,45.2887537993921,0.09191666004795636
THAI,SET,High Vol,613,48.12398042414356,0.2830613411035065
THAI,SET,Spike,304,42.10526315789473,0.04129434985399701
THAI,SET,Low Vol,950,40.526315789473685,-0.04152830870072371
THAI,SET,Normal,683,40.849194729136165,0.04107520411902593
THAI,SET,High Vol,680,42.94117647058823,0.07189207392329967
THAI,SET,Spike,334,43.11377245508982,-0.07341797523232217
THAI,SET,Low Vol,251,38.645418326693225,-0.07221209092973395
THAI,SET,Normal,236,39.83050847457627,-0.14786876437731408
THAI,SET,High Vol,238,42.016806722689076,0.16351258587469672
THAI,SET,Spike,80,30.0,-0.4383034334335695
THAI,SET,Low Vol,265,37.35849056603773,-0.07162316226507646
THAI,SET,Normal,247,42.51012145748988,-0.055968937214164606
THAI,SET,High Vol,193,44.04145077720207,-0.10474428767269868
THAI,SET,Spike,91,29.67032967032967,0.03573327390116006
THAI,SET,Low Vol,832,42.90865384615385,0.008683706972873757
THAI,SET,Normal,737,41.11261872455903,0.014283109363555608
THAI,SET,High Vol,718,43.5933147632312,0.0886257623571042
THAI,SET,Spike,316,40.822784810126585,-0.09718397648916831
THAI,SET,Low Vol,588,46.93877551020408,0.09554132137831343
THAI,SET,Normal,646,42.414860681114554,-0.016726986482925085
THAI,SET,High Vol,584,45.54794520547945,0.08569211047180457
THAI,SET,Spike,230,46.08695652173913,0.03390336901766344
THAI,SET,Low Vol,750,40.400000000000006,0.07089442001962086
THAI,SET,Normal,525,40.76190476190476,-0.029844097663013408
THAI,SET,High Vol,529,42.53308128544423,0.02342031308181708
THAI,SET,Spike,352,38.92045454545455,0.06426125736871885
THAI,SET,Low Vol,846,38.061465721040186,-0.052311530634289324
THAI,SET,Normal,607,42.174629324546956,0.11012996342454066
THAI,SET,High Vol,565,40.884955752212385,0.026511951253807748
THAI,SET,Spike,317,42.90220820189275,0.23147233516103424
THAI,SET,Low Vol,436,39.44954128440367,0.024292101584094863
THAI,SET,Normal,286,39.51048951048951,-0.0073565073374400065
THAI,SET,High Vol,285,34.73684210526316,-0.2997719431274255
THAI,SET,Spike,143,41.95804195804196,0.4086384798052194
THAI,SET,Low Vol,617,41.16693679092383,0.05447216870539011
