Stock,Trades,W/L,Winrate,Avg Win,Avg Loss,Ratio,Net P/L
COM7,1,0W-1L,0%,+0.0%,+0.0%,0,+0.0%
CPN,1,0W-1L,0%,+0.0%,+0.0%,0,+0.0%
