symbol,exchange,pattern,direction,prob,avg_win,avg_loss,rrr,match_count,signal,reason,passed,test_matches,test_prob,test_rrr
JTS,SET,++,SHORT,57.26,3.08,2.95,1.05,585,SELL,"Prob 57.3% >= 55.0%, match_count 585 >= 25",True,49,40.82,0.75
KKP,SET,+++,LONG,43.95,2.32,1.4,1.66,223,NO-TRADE,Prob 44.0% <= 55.0%,False,4,25.0,1.0
KTB,SET,-+,SHORT,51.44,1.52,1.61,0.94,731,NO-TRADE,Prob 51.4% <= 55.0%,False,35,34.29,4.96
LANNA,SET,-,SHORT,43.47,1.86,1.42,1.31,1953,NO-TRADE,Prob 43.5% <= 55.0%,False,154,36.36,1.59
MAJOR,SET,-,LONG,43.26,1.8,1.34,1.34,2076,NO-TRADE,Prob 43.3% <= 55.0%,False,281,47.33,1.08
MEGA,SET,-,LONG,38.4,1.68,0.79,2.12,362,NO-TRADE,Prob 38.4% <= 55.0%,False,240,47.92,1.38
PLANB,SET,+,SHORT,41.6,2.62,1.32,1.99,125,NO-TRADE,Prob 41.6% <= 55.0%,False,313,50.16,1.06
PTG,SET,--,LONG,47.83,2.3,1.57,1.46,115,NO-TRADE,Prob 47.8% <= 55.0%,False,39,58.97,0.72
QH,SET,+-,LONG,45.93,2.67,1.42,1.88,712,NO-TRADE,Prob 45.9% <= 55.0%,False,37,32.43,1.4
RCL,SET,+,SHORT,49.31,1.9,1.99,0.96,2243,NO-TRADE,Prob 49.3% <= 55.0%,False,248,49.19,1.08
SIRI,SET,+,LONG,44.73,2.18,1.39,1.57,2535,NO-TRADE,Prob 44.7% <= 55.0%,False,272,32.35,1.68
TASCO,SET,-+,SHORT,45.27,1.6,1.98,0.81,634,NO-TRADE,Prob 45.3% <= 55.0%,False,31,41.94,1.4
TCAP,SET,-+,LONG,44.28,2.14,1.29,1.66,734,NO-TRADE,Prob 44.3% <= 55.0%,False,43,37.21,1.33
TPIPL,SET,-,SHORT,44.68,2.29,1.59,1.44,1862,NO-TRADE,Prob 44.7% <= 55.0%,False,236,34.32,2.53
VGI,SET,-+,SHORT,52.08,2.19,1.54,1.42,192,NO-TRADE,Prob 52.1% <= 55.0%,False,27,44.44,1.2
AAPL,NASDAQ,+,LONG,56.76,1.4,1.29,1.09,2752,BUY,"Prob 56.8% >= 55.0%, match_count 2752 >= 25",True,348,52.87,0.94
MSFT,NASDAQ,+-,LONG,51.97,1.42,1.18,1.2,785,NO-TRADE,Prob 52.0% <= 55.0%,False,49,63.27,1.13
